['X'],['Y'],['Percent'],['Total Shots'],['Goals'],Adjustment,Frequency after Adjustment,Rating
95,32,0,0,0,0,0,0.05
95,31,0,0,0,0,0,0.05
95,30,0,0,0,0,0,0.05
95,29,0,0,0,0,0,0.05
95,28,0,0,0,0,0,0.05
95,27,1,2,2,0.034,0.034,0.14
95,26,0,0,0,0,0,0.05
95,25,0,0,0,0,0,0.05
95,24,0,0,0,0,0,0.05
95,23,0,0,0,0,0,0.05
95,22,0.5,2,1,0.034,0.017,0.07
95,21,0,4,0,0.068,0,0.05
95,20,0.25,4,1,0.068,0.017,0.07
95,19,0,2,0,0.034,0,0.05
95,18,0,2,0,0.034,0,0.05
95,17,0,0,0,0,0,0.05
95,16,0,1,0,0.017,0,0.05
95,15,0,2,0,0.034,0,0.05
95,14,0,2,0,0.034,0,0.05
95,13,0,2,0,0.034,0,0.05
95,12,0,3,0,0.051,0,0.05
95,11,0,3,0,0.051,0,0.05
95,10,0,2,0,0.034,0,0.05
95,9,0,1,0,0.017,0,0.05
95,8,0,1,0,0.017,0,0.05
95,7,0,3,0,0.051,0,0.05
95,6,0,1,0,0.017,0,0.05
95,5,0,2,0,0.034,0,0.05
95,4,0,0,0,0,0,0.05
95,3,0,0,0,0,0,0.05
95,2,0,0,0,0,0,0.05
95,1,0,0,0,0,0,0.05
95,0,0,1,0,0.017,0,0.05
95,-1,0,0,0,0,0,0.05
95,-2,0,0,0,0,0,0.05
95,-3,0,0,0,0,0,0.05
95,-4,0.5,2,1,0.034,0.017,0.07
95,-5,0,0,0,0,0,0.05
95,-6,0,1,0,0.017,0,0.05
95,-7,0,2,0,0.034,0,0.05
95,-8,0.3333333333,3,1,0.051,0.017,0.07
95,-9,0,1,0,0.017,0,0.05
95,-10,0,3,0,0.051,0,0.05
95,-11,0,1,0,0.017,0,0.05
95,-12,0,2,0,0.034,0,0.05
95,-13,0,0,0,0,0,0.05
95,-14,0,2,0,0.034,0,0.05
95,-15,0.1666666667,6,1,0.102,0.017,0.07
95,-16,0,1,0,0.017,0,0.05
95,-17,0,1,0,0.017,0,0.05
95,-18,0,3,0,0.051,0,0.05
95,-19,0,0,0,0,0,0.05
95,-20,0,0,0,0,0,0.05
95,-21,0,1,0,0.017,0,0.05
95,-22,0,0,0,0,0,0.05
95,-23,0,2,0,0.034,0,0.05
95,-24,0,0,0,0,0,0.05
95,-25,0,0,0,0,0,0.05
95,-26,0,1,0,0.017,0,0.05
95,-27,0,0,0,0,0,0.05
95,-28,0,1,0,0.017,0,0.05
95,-29,0,0,0,0,0,0.05
95,-30,0,2,0,0.034,0,0.05
95,-31,1,2,2,0.034,0.034,0.14
95,-32,0,0,0,0,0,0.05
95,-33,0,1,0,0.017,0,0.05
95,-34,0,0,0,0,0,0.05
95,-35,0,0,0,0,0,0.05
95,-36,0,0,0,0,0,0.05
95,-37,0,0,0,0,0,0.05
95,-38,0,0,0,0,0,0.05
95,-39,0,0,0,0,0,0.05
95,-40,0,0,0,0,0,0.05
95,42,0,0,0,0,0,0.05
95,41,0,0,0,0,0,0.05
95,40,0,0,0,0,0,0.05
95,-40,0,0,0,0,0,0.05
95,-41,0,0,0,0,0,0.05
95,-42,0,0,0,0,0,0.05
94,40,0,0,0,0,0,0.05
94,39,0,0,0,0,0,0.05
94,38,0,1,0,0.017,0,0.05
94,37,0,0,0,0,0,0.05
94,36,0,0,0,0,0,0.05
94,35,0,1,0,0.017,0,0.05
94,34,0,0,0,0,0,0.05
94,33,0,1,0,0.017,0,0.05
94,32,0,0,0,0,0,0.05
94,31,0,2,0,0.034,0,0.05
94,30,0,0,0,0,0,0.05
94,29,0,2,0,0.034,0,0.05
94,28,0.3333333333,3,1,0.051,0.017,0.07
94,27,0,0,0,0,0,0.05
94,26,0,2,0,0.034,0,0.05
94,25,0,2,0,0.034,0,0.05
94,24,0.5,2,1,0.034,0.017,0.07
94,23,0,2,0,0.034,0,0.05
94,22,0,0,0,0,0,0.05
94,21,0,4,0,0.068,0,0.05
94,20,0,2,0,0.034,0,0.05
94,19,0,1,0,0.017,0,0.05
94,18,0.3333333333,3,1,0.051,0.017,0.07
94,17,0,0,0,0,0,0.05
94,16,1,2,2,0.034,0.034,0.14
94,15,0,3,0,0.051,0,0.05
94,14,0,2,0,0.034,0,0.05
94,13,0,2,0,0.034,0,0.05
94,12,0,1,0,0.017,0,0.05
94,11,0,3,0,0.051,0,0.05
94,10,0,3,0,0.051,0,0.05
94,9,0,3,0,0.051,0,0.05
94,8,0.3333333333,6,2,0.102,0.034,0.14
94,7,0,7,0,0.119,0,0.05
94,6,0.6666666667,3,2,0.051,0.034,0.14
94,5,0,4,0,0.068,0,0.05
94,4,1,1,1,0.017,0.017,0.07
94,3,0,1,0,0.017,0,0.05
94,2,0,1,0,0.017,0,0.05
94,1,0,0,0,0,0,0.05
94,0,0,0,0,0,0,0.05
94,-1,0,0,0,0,0,0.05
94,-2,0,0,0,0,0,0.05
94,-3,1,1,1,0.017,0.017,0.07
94,-4,0,0,0,0,0,0.05
94,-5,0,3,0,0.051,0,0.05
94,-6,0.5,2,1,0.034,0.017,0.07
94,-7,0,5,0,0.085,0,0.05
94,-8,0.1666666667,6,1,0.102,0.017,0.07
94,-9,0.1428571429,7,1,0.119,0.017,0.07
94,-10,0.125,8,1,0.136,0.017,0.07
94,-11,0,6,0,0.102,0,0.05
94,-12,0.3333333333,3,1,0.051,0.017,0.07
94,-13,0.3333333333,6,2,0.102,0.034,0.14
94,-14,0.1428571429,7,1,0.119,0.017,0.07
94,-15,0.5,2,1,0.034,0.017,0.07
94,-16,0.3333333333,3,1,0.051,0.017,0.07
94,-17,0,4,0,0.068,0,0.05
94,-18,0.3333333333,3,1,0.051,0.017,0.07
94,-19,0,2,0,0.034,0,0.05
94,-20,0,0,0,0,0,0.05
94,-21,0,3,0,0.051,0,0.05
94,-22,0,2,0,0.034,0,0.05
94,-23,0.3333333333,3,1,0.051,0.017,0.07
94,-24,0,1,0,0.017,0,0.05
94,-25,0,3,0,0.051,0,0.05
94,-26,0,1,0,0.017,0,0.05
94,-27,0,1,0,0.017,0,0.05
94,-28,0,3,0,0.051,0,0.05
94,-29,0.3333333333,3,1,0.051,0.017,0.07
94,-30,0,0,0,0,0,0.05
94,-31,0,1,0,0.017,0,0.05
94,-32,0,0,0,0,0,0.05
94,-33,0,2,0,0.034,0,0.05
94,-34,0,1,0,0.017,0,0.05
94,-35,0,0,0,0,0,0.05
94,-36,0,0,0,0,0,0.05
94,-37,1,1,1,0.017,0.017,0.07
94,-38,0,0,0,0,0,0.05
94,-39,0,0,0,0,0,0.05
94,-40,0,0,0,0,0,0.05
94,42,0,0,0,0,0,0.05
94,41,0,0,0,0,0,0.05
94,40,0,0,0,0,0,0.05
94,-40,0,0,0,0,0,0.05
94,-41,0,0,0,0,0,0.05
94,-42,0,0,0,0,0,0.05
93,40,0,0,0,0,0,0.05
93,39,0,0,0,0,0,0.05
93,38,0,0,0,0,0,0.05
93,37,0,0,0,0,0,0.05
93,36,0,2,0,0.034,0,0.05
93,35,0,0,0,0,0,0.05
93,34,0,1,0,0.017,0,0.05
93,33,0,1,0,0.017,0,0.05
93,32,0,1,0,0.017,0,0.05
93,31,0,2,0,0.034,0,0.05
93,30,0,1,0,0.017,0,0.05
93,29,0,3,0,0.051,0,0.05
93,28,0,1,0,0.017,0,0.05
93,27,0,5,0,0.085,0,0.05
93,26,0.5,2,1,0.034,0.017,0.07
93,25,0.25,4,1,0.068,0.017,0.07
93,24,1,1,1,0.017,0.017,0.07
93,23,0.6666666667,3,2,0.051,0.034,0.14
93,22,0,2,0,0.034,0,0.05
93,21,0.1666666667,6,1,0.102,0.017,0.07
93,20,0,5,0,0.085,0,0.05
93,19,0.2,5,1,0.085,0.017,0.07
93,18,0,4,0,0.068,0,0.05
93,17,0,1,0,0.017,0,0.05
93,16,0,6,0,0.102,0,0.05
93,15,0.3333333333,3,1,0.051,0.017,0.07
93,14,0.25,4,1,0.068,0.017,0.07
93,13,0,2,0,0.034,0,0.05
93,12,0,4,0,0.068,0,0.05
93,11,0.5,2,1,0.034,0.017,0.07
93,10,0.2857142857,7,2,0.119,0.034,0.14
93,9,0,2,0,0.034,0,0.05
93,8,0.3636363636,11,4,0.187,0.068,0.27
